mu sigE sigMu w eH2 mH2
1e-04 1 1.25 0.994865359375 0.0384615384615385 0.0282638801681421
1e-04 1 2.5 0.9948388828125 0.0384615384615385 0.0312399874940934
1e-04 1 5 0.9948174609375 0.0384615384615385 0.039125877919934
1e-04 2.5 1.25 0.970051296875 0.00635930047694754 0.00515042816253202
1e-04 2.5 2.5 0.9698304609375 0.00635930047694754 0.00734663610075352
1e-04 2.5 5 0.96991505859375 0.00635930047694754 0.00661756899417212
0.001 1 1.25 0.993007484375 0.285714285714286 0.251786111868355
0.001 1 2.5 0.993112384765625 0.285714285714286 0.259365424465727
0.001 1 5 0.993095388671875 0.285714285714286 0.27266930538499
0.001 2.5 1.25 0.9682563671875 0.0601503759398496 0.0566346618514788
0.001 2.5 2.5 0.968212384765625 0.0601503759398496 0.059676067643412
0.001 2.5 5 0.96824473046875 0.0601503759398496 0.0635102330833818
0.01 1 1.25 0.9723422890625 0.8 0.820919382940609
0.01 1 2.5 0.97202028125 0.8 0.823721451696083
0.01 1 5 0.9739443359375 0.8 0.817667416266178
0.01 2.5 1.25 0.94823305859375 0.390243902439024 0.435222246025387
0.01 2.5 2.5 0.94803690625 0.390243902439024 0.442295504904798
0.01 2.5 5 0.9496823125 0.390243902439024 0.438197820018664
