mu sigE sigMu w eH2 mH2
1e-04 0.1 0.125 0.99485566796875 0.0384615384615385 0.0301948443948076
1e-04 0.1 0.25 0.9948884765625 0.0384615384615385 0.0325981931474195
1e-04 0.1 0.5 0.9948700234375 0.0384615384615385 0.0314480537034253
1e-04 0.25 0.125 0.97012376171875 0.00635930047694754 0.00556412958198118
1e-04 0.25 0.25 0.96991884765625 0.00635930047694754 0.00629011091055672
1e-04 0.25 0.5 0.9700115078125 0.00635930047694754 0.00697935860919152
0.001 0.1 0.125 0.992986048828125 0.285714285714286 0.260321738836098
0.001 0.1 0.25 0.99304881640625 0.285714285714286 0.263688823402012
0.001 0.1 0.5 0.993031685546875 0.285714285714286 0.275335662360416
0.001 0.25 0.125 0.96829550390625 0.0601503759398496 0.05804402715226
0.001 0.25 0.25 0.96824329296875 0.0601503759398496 0.0600980648140369
0.001 0.25 0.5 0.968296869140625 0.0601503759398496 0.0645409454856947
0.01 0.1 0.125 0.97228383984375 0.8 0.821830825103175
0.01 0.1 0.25 0.9720355 0.8 0.824361631749398
0.01 0.1 0.5 0.97358198828125 0.8 0.822003310327096
0.01 0.25 0.125 0.94826829296875 0.390243902439024 0.438220493080033
0.01 0.25 0.25 0.94804437109375 0.390243902439024 0.43882460289216
0.01 0.25 0.5 0.9494726875 0.390243902439024 0.434406759691965
